Country,earliest_report,date_local,imported_local,method_surveillance,Source
United States of America,2020-12-27,2020-12-27,1,SGTF,https://eu.usatoday.com/story/news/health/2020/12/29/colorado-reports-first-known-us-case-new-covid-strain-uk/4079697001/ | https://twitter.com/K_G_Andersen/status/1344825028370567169/photo/1
Denmark,2020-11-14,,1,community_sequencing,https://www.bbc.co.uk/news/world-55382212
Australia,2020-12-20,,0,travellers,https://www.dw.com/en/covid-19-more-countries-detect-mutated-uk-coronavirus-variant/a-56009203
United Kingdom,2020-09-20,2020-09-20,1,community_sequencing,https://virological.org/t/preliminary-genomic-characterisation-of-an-emergent-sars-cov-2-lineage-in-the-uk-defined-by-a-novel-set-of-spike-mutations/563
Turkey,2021-01-01,,0,travellers,https://www.cnnturk.com/video/turkiye/son-dakika-haberi-bakan-koca-acikladi-15-kiside-mutasyonlu-virus-ingiltereden-girisler-tamamen-durduruldu-video
Belgium,2020-12-20,,0,,https://www.brusselstimes.com/news/belgium-all-news/146288/netherlands-bans-flights-from-uk-over-new-covid-mutation-found-coronavirus-van-ranst-who/
Canada,2020-12-26,2020-12-26,1,,https://www.cbc.ca/news/canada/toronto/ontario-confirms-first-cases-covid19-uk-variant-1.5855361
Chile,2020-12-22,,0,travellers,https://www.reuters.com/article/uk-health-coronavirus-britain-variants-f/chile-records-first-case-of-british-variant-of-coronavirus-health-ministry-idUSKBN2931CS
China,2020-12-04,,0,travellers,http://weekly.chinacdc.cn/en/article/doi/10.46234/ccdcw2020.270 | https://www.globaltimes.cn/page/202101/1211644.shtml
Finland,2020-12-28,,0,travellers,https://yle.fi/uutiset/osasto/news/new_uk_variant_covid_strain_detected_in_finland/11716211
France,2020-12-19,2021-01-06,1,,https://www.aljazeera.com/news/2020/12/26/france-confirms-first-case-of-new-coronavirus-variant | https://cnnphilippines.com/news/2021/1/6/Hong-Kong-detects-UK-COVID-19-variant-from-Manila-outbound-passenger-.html
Germany,2020-11-27,2020-11-27,1,travellers,https://www.ms.niedersachsen.de/startseite/service_kontakt/presseinformationen/variante-des-corona-virus-aus-grossbritannien-erstmals-in-niedersachsen-nachgewiesen-195841.html
Iceland,2020-12-21,,0,travellers,https://icelandmonitor.mbl.is/news/news/2020/12/30/eleven_recent_cases_of_british_variant_of_coronavir/
India,2020-12-18,,0,travellers,https://www.republicworld.com/india-news/general-news/maharashtra-8-patients-detected-with-uk-variant-of-covid-19-5-from-mumbai.html
Ireland,2020-12-25,2020-12-29,1,travellers,https://www.independent.ie/world-news/coronavirus/new-uk-variant-of-covid-19-confirmed-in-ireland-while-1025-new-cases-and-two-further-deaths-confirmed-39900087.html | https://www.thejournal.ie/uk-strain-coronavirus-b117-ireland-third-wave-5314440-Jan2021/
Israel,2020-12-23,2021-01-01,1,,https://www.timesofisrael.com/health-officials-fear-mutant-strain-spreading-as-they-examine-dozens-of-tests/ | https://menafn.com/1101373506/Mutant-COVID-19-variant-affects-18-more-people-in-Israel&source=30
